?? VISÃO 1: MATRIZ DE CONSTRUÇÃO DE VOLUME (TCH) — 100%;;;;;;;;;
O motor da biomassa e sobrevivência da soqueira. Foco em enraizamento, nutrição de base e eliminação de competição.;;;;;;;;;
• Perda de 1 kg ATR = ~R$ 1,20/ton x 80.000 ton = ~R$ 96.000 receita perdida;;;;;;;;;
• Economia em operação CRÍTICA de R$ 100.000 pode gerar prejuízo de R$ 500.000+;;;;;;;;;
• CTTA representa 40% das operações - qualquer falha impacta diretamente a moagem;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
? PESOS OFICIAIS APLICADOS - Rebalanceamento aprovado em 31/05/2026;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
