;;AGR;TRANSP PESSOAL - Retirar Micro onibus da muda ; 218.000 ;Trocar apenas com um onibus no periodo de junho a setembro 2026;NA;;;;;;;;;;
;;AGR;TRANSP PESSOAL - Retirar Van da irrigação LM da Meiosi; 239.000 ;troca de turno carro leve;NA;;;;;;;;;;
;;AGR;TRANSP TORTA - Terceiro transporte de torta; 54.000 ;Retirar 4% do reajuste;NA;;;;;;;;;;
;;AUT;- Redução 1 CAM Fetirrigação - Impacto no atendimento (1 CM Oficina Fertirrig./Irrig.); 75.000 ;;NA;;;;;;;;;;
;;AUT;- Redução 1 CAM Colheita Muda ; 65.000 ;;NA;;;;;;;;;;
;;AUT;- Redução 1 Veículos leves - Entrega de Peças PPT; 35.000 ;;NA;;;;;;;;;;
;;AUT;- Redução 8% Serviços Terceiros - M.Obra Orçado 2.128.154; 170.252 ;;NA;;;;;;;;;;
;;AUT;- Redução 8% Gastos Pneus - Orçado 1948745 - Estrategia compra Carcaça Usada; 155.900 ;;NA;;;;;;;;;;
;;AUT;- Redução 5% Consumo de produtos do lavador; 25.000 ;;NA;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;; 10.145.966 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
